longitude;latitude;density
10.29569444;43.58569444;0.202219
10.29597222;43.58569444;0.202219
10.29625;43.58569444;0.202219
10.29652778;43.58569444;0.202219
10.29680556;43.58569444;0.202219
10.30013889;43.58569444;0.202219
10.29541667;43.58597222;0.202219
10.29569444;43.58597222;0.202219
10.29597222;43.58597222;0.202219
10.29625;43.58597222;0.202219
10.29652778;43.58597222;0.202219
10.29680556;43.58597222;0.202219
10.29708333;43.58597222;0.202219
10.29736111;43.58597222;0.202219
10.29763889;43.58597222;0.202219
10.29791667;43.58597222;0.202219
10.29819444;43.58597222;0.202219
10.29847222;43.58597222;0.202219
10.29986111;43.58597222;0.202219
10.30013889;43.58597222;0.202219
10.29541667;43.58625;0.202219
10.29569444;43.58625;0.202219
10.29597222;43.58625;0.202219
10.29625;43.58625;0.202219
10.29736111;43.58625;0.202219
10.29763889;43.58625;0.202219
10.29847222;43.58625;0.202219
10.29875;43.58625;0.202219
10.29513889;43.58652778;0.202219
10.29541667;43.58652778;0.202219
10.29569444;43.58652778;0.202219
10.29597222;43.58652778;0.202219
10.29625;43.58652778;0.202219
10.29652778;43.58652778;0.202219
10.29680556;43.58652778;0.202219
10.29708333;43.58652778;0.202219
10.29736111;43.58652778;0.202219
10.29763889;43.58652778;0.202219
10.29847222;43.58652778;0.202219
10.29875;43.58652778;0.202219
10.29902778;43.58652778;0.202219
10.29486111;43.58680556;0.202219
10.29541667;43.58680556;0.202219
10.29569444;43.58680556;0.202219
10.29597222;43.58680556;0.202219
10.29625;43.58680556;0.202219
10.29652778;43.58680556;0.202219
10.29680556;43.58680556;0.202219
10.29708333;43.58680556;0.202219
10.29736111;43.58680556;0.202219
10.29763889;43.58680556;0.202219
10.29791667;43.58680556;0.202219
10.29819444;43.58680556;0.202219
10.29847222;43.58680556;0.202219
10.29875;43.58680556;0.202219
10.29902778;43.58680556;0.202219
10.29930556;43.58680556;0.202219
10.29486111;43.58708333;0.202219
10.29513889;43.58708333;0.202219
10.29541667;43.58708333;0.202219
10.29569444;43.58708333;0.202219
10.29597222;43.58708333;0.202219
10.29625;43.58708333;0.202219
10.29791667;43.58708333;0.202219
10.29847222;43.58708333;0.202219
10.29875;43.58708333;0.202219
10.29902778;43.58708333;0.202219
10.29930556;43.58708333;0.202219
10.29458333;43.58736111;0.202219
10.29486111;43.58736111;0.202219
10.29513889;43.58736111;0.202219
10.29541667;43.58736111;0.202219
10.29569444;43.58736111;0.202219
10.29597222;43.58736111;0.202219
10.29625;43.58736111;0.202219
10.29652778;43.58736111;0.202219
10.29680556;43.58736111;0.202219
10.29736111;43.58736111;0.202219
10.29763889;43.58736111;0.202219
10.29791667;43.58736111;0.202219
10.29819444;43.58736111;0.202219
10.29847222;43.58736111;0.202219
10.29458333;43.58763889;0.202219
10.29486111;43.58763889;0.202219
10.29513889;43.58763889;0.202219
10.29541667;43.58763889;0.202219
10.29569444;43.58763889;0.202219
10.29597222;43.58763889;0.202219
10.29625;43.58763889;0.202219
10.29652778;43.58763889;0.202219
10.29680556;43.58763889;0.202219
10.29708333;43.58763889;0.202219
10.29736111;43.58763889;0.202219
10.29763889;43.58763889;0.202219
10.29791667;43.58763889;0.202219
10.29819444;43.58763889;0.202219
10.29486111;43.58791667;0.202219
10.29513889;43.58791667;0.202219
10.29541667;43.58791667;0.202219
10.29569444;43.58791667;0.202219
10.29597222;43.58791667;0.202219
10.29736111;43.58791667;0.202219
10.29763889;43.58791667;0.202219
10.29791667;43.58791667;0.202219
10.29819444;43.58791667;0.202219
10.29847222;43.58791667;0.202219
10.29875;43.58791667;0.202219
10.29930556;43.58791667;0.546047
10.29958333;43.58791667;0.546047
10.29430556;43.58819444;0.202219
10.29458333;43.58819444;0.202219
10.29486111;43.58819444;0.202219
10.29513889;43.58819444;0.202219
10.29541667;43.58819444;0.202219
10.29569444;43.58819444;0.202219
10.29597222;43.58819444;0.202219
10.29625;43.58819444;0.202219
10.29652778;43.58819444;0.202219
10.29875;43.58819444;0.202219
